ID	Name	Bees	Hive_ID	Material	Date_Harvest	Date_Extracted	lat_lon	Replicate	Sequencing_Batch	New_ID
FlaviaM-16S-47	FlaviaM-16S-47	Tetragonula carbonaria	C2	Food	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C2_Food_2019_B2
FlaviaM-16S-48	FlaviaM-16S-48	Tetragonula hockingsi	H4	Food	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H4_Food_2019_B2
FlaviaM-16S-49	FlaviaM-16S-49	Tetragonula hockingsi	H5	Food	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H5_Food_2019_B2
FlaviaM-16S-50	FlaviaM-16S-50	Tetragonula hockingsi	H6	Food	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H6_Food_2019_B2
FlaviaM-16S-51	FlaviaM-16S-51	Austroplebia australis	A1	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A1_Food_2018_B2
FlaviaM-16S-52	FlaviaM-16S-52	Austroplebia australis	A2	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A2_Food_2018_B2
FlaviaM-16S-53	FlaviaM-16S-53	Austroplebia australis	A3	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A3_Food_2018_B2
FlaviaM-16S-54	FlaviaM-16S-54	Tetragonula carbonaria	C1	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C1_Food_2018_B2
FlaviaM-16S-55	FlaviaM-16S-55	Tetragonula carbonaria	C2	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C2_Food_2018_B2
FlaviaM-16S-56	FlaviaM-16S-56	Tetragonula carbonaria	C3	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C3_Food_2018_B2
FlaviaM-16S-57	FlaviaM-16S-57	Tetragonula hockingsi	H1	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H1_Food_2018_B2
FlaviaM-16S-58	FlaviaM-16S-58	Tetragonula hockingsi	H2	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H2_Food_2018_B2
FlaviaM-16S-59	FlaviaM-16S-59	Tetragonula hockingsi	H3	Food	1/03/2018	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H3_Food_2018_B2
FlaviaM-16S-60	FlaviaM-16S-60	Austroplebia australis	A1	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A1_Cerumen_2019_B2
FlaviaM-16S-61	FlaviaM-16S-61	Austroplebia australis	A2	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	A2_Cerumen_2019_B2
FlaviaM-16S-63	FlaviaM-16S-63	Tetragonula carbonaria	C1	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C1_Cerumen_2019_B2
FlaviaM-16S-64	FlaviaM-16S-64	Tetragonula carbonaria	C2	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C2_Cerumen_2019_B2
FlaviaM-16S-65	FlaviaM-16S-65	Tetragonula carbonaria	C3	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	C3_Cerumen_2019_B2
FlaviaM-16S-66	FlaviaM-16S-66	Tetragonula hockingsi	H4	Propolis	18/12/2019	25/02/2020	"27°21'58.8""S 152°49'37.0""E"	R1	B2	H4_Cerumen_2019_B2
